Comment,Designator,Footprint,LCSC,Quantity
,C25,C0402-NSK,,1
,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,1
,R15,R0402-NSK,,1
,C26,C0402-NSK,,1
,L2,L0603_NSK,,1
,C14,C0402-NSK,,1
,U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL_1,,1
,U9,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,1
,C18,C0402-NSK,,1
,R44,R0402-NSK,,1
,DM4,Test-Point-0.5mm,,1
,R14,R0402-NSK,,1
,U3,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,,1
,R2,R0402-NSK,,1
,C13,C0402-NSK,,1
,U7,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,1
,R43,R0402-NSK,,1
,R58,R0603,,1
,R12,R0402-NSK,,1
,1V2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,1
,R6,R0402-NSK,,1
,C29,C0402-NSK,,1
,R27,R0402-NSK,,1
,C2,C0402-NSK,,1
,C5,C0402-NSK,,1
,C24,C0402-NSK,,1
,C16,C0402-NSK,,1
,USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,,1
,G1IN,Test-Point-0.5mm,,1
,FPC1,FPC-SMD_40P-P0.50_XUNPU_FPC-05FB-40PH20,,1
,R45,R0402-NSK,,1
,R7,R0402-NSK,,1
,C21,C0603_NSK,,1
,R1,R0402-NSK,,1
,U8,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,1
,C22,C0402-NSK,,1
,R11,R0402-NSK,,1
,C23,C0402-NSK,,1
,DM3,Test-Point-0.5mm,,1
,DP3,Test-Point-0.5mm,,1
,L1,L0603_NSK,,1
,C28,C0402-NSK,,1
,C27,C0402-NSK,,1
,R29,R0402-NSK,,1
,DP4,Test-Point-0.5mm,,1
,1V8,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,,1
,R59,R0402-NSK,,1
,R13,R0402-NSK,,1
,R28,R0402-NSK,,1
,C1,C0402-NSK,,1
,C4,C0402-NSK,,1
,R37,R0402-NSK,,1
,R49,R0402-NSK,,1
,C9,C0402-NSK,,1
,C32,C0805,,1
,R36,R0402-NSK,,1
,CN1,CONN-SMD_DF12-50DS-0.5V,,1
,X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,1
,C12,C0402-NSK,,1
,R34,R0402-NSK,,1
,C33,C0603_NSK,,1
,C31,C0805,,1
,R4,R0402-NSK,,1
,R35,R0402-NSK,,1
,C3,C0402-NSK,,1
,R23,R0402-NSK,,1
,C15,C0603_NSK,,1
,C30,C0805,,1
,C6,C0402-NSK,,1
,C10,C0402-NSK,,1
,U10,SOP-8_L5.0-W4.0-P1.27-LS6.0-BL,,1
,R41,R0402-NSK,,1
,C19,C0603_NSK,,1
,C8,C0603_NSK,,1
,U2,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,,1
,L3,L0603_NSK,,1
,R8,R0402-NSK,,1
,R40,R0402-NSK,,1
,C7,C0603_NSK,,1
,R5,R0402-NSK,,1
,R25,R0402-NSK,,1
,R21,R0402-NSK,,1
,C11,C0402-NSK,,1
,R9,R0402-NSK,,1
,R30,R0402-NSK,,1
,U4,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,1
,R53,R0402-NSK,,1
,C20,C0402-NSK,,1
,R10,R0402-NSK,,1
,R39,R0402-NSK,,1
,C17,C0603_NSK,,1
,U11,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,1
,R57,R0402-NSK,,1
,R38,R0402-NSK,,1
